,direction,type,trial
0,5,direction5,1
1,0,direction0,2
2,25,direction25,3
3,30,direction30,4
4,15,direction15,5
5,10,direction10,6
6,20,direction20,7
7,35,direction35,8
8,0,direction0,9
9,5,direction5,10
10,30,direction30,11
11,20,direction20,12
12,15,direction15,13
13,10,direction10,14
14,35,direction35,15
15,25,direction25,16
16,30,direction30,17
17,35,direction35,18
18,10,direction10,19
19,5,direction5,20
20,20,direction20,21
21,0,direction0,22
22,15,direction15,23
23,25,direction25,24
24,20,direction20,25
25,30,direction30,26
26,0,direction0,27
27,10,direction10,28
28,25,direction25,29
29,15,direction15,30
30,5,direction5,31
31,35,direction35,32
32,0,direction0,33
33,30,direction30,34
34,35,direction35,35
35,10,direction10,36
36,25,direction25,37
37,5,direction5,38
38,15,direction15,39
39,20,direction20,40
40,0,direction0,41
41,20,direction20,42
42,10,direction10,43
43,15,direction15,44
44,35,direction35,45
45,5,direction5,46
46,25,direction25,47
47,30,direction30,48
48,10,direction10,49
49,0,direction0,50
50,15,direction15,51
51,20,direction20,52
52,25,direction25,53
53,35,direction35,54
54,30,direction30,55
55,5,direction5,56
56,25,direction25,57
57,20,direction20,58
58,15,direction15,59
59,30,direction30,60
60,0,direction0,61
61,35,direction35,62
62,5,direction5,63
63,10,direction10,64
64,35,direction35,65
65,20,direction20,66
66,10,direction10,67
67,30,direction30,68
68,25,direction25,69
69,0,direction0,70
70,15,direction15,71
71,5,direction5,72
72,20,direction20,73
73,5,direction5,74
74,0,direction0,75
75,35,direction35,76
76,15,direction15,77
77,30,direction30,78
78,25,direction25,79
79,10,direction10,80
80,35,direction35,81
81,15,direction15,82
82,0,direction0,83
83,10,direction10,84
84,25,direction25,85
85,30,direction30,86
86,20,direction20,87
87,5,direction5,88
88,30,direction30,89
89,15,direction15,90
90,5,direction5,91
91,0,direction0,92
92,35,direction35,93
93,10,direction10,94
94,20,direction20,95
95,25,direction25,96
96,10,direction10,97
97,20,direction20,98
98,30,direction30,99
99,5,direction5,100
100,35,direction35,101
101,25,direction25,102
102,15,direction15,103
103,0,direction0,104
104,25,direction25,105
105,5,direction5,106
106,20,direction20,107
107,35,direction35,108
108,30,direction30,109
109,0,direction0,110
110,15,direction15,111
111,10,direction10,112
112,15,direction15,113
113,0,direction0,114
114,25,direction25,115
115,20,direction20,116
116,35,direction35,117
117,30,direction30,118
118,10,direction10,119
119,5,direction5,120
120,15,direction15,121
121,30,direction30,122
122,20,direction20,123
123,10,direction10,124
124,0,direction0,125
125,5,direction5,126
126,25,direction25,127
127,35,direction35,128
128,0,direction0,129
129,10,direction10,130
130,15,direction15,131
131,25,direction25,132
132,35,direction35,133
133,20,direction20,134
134,30,direction30,135
135,5,direction5,136
136,10,direction10,137
137,30,direction30,138
138,25,direction25,139
139,5,direction5,140
140,35,direction35,141
141,15,direction15,142
142,20,direction20,143
143,0,direction0,144
144,30,direction30,145
145,10,direction10,146
146,0,direction0,147
147,20,direction20,148
148,15,direction15,149
149,35,direction35,150
150,5,direction5,151
151,25,direction25,152
152,0,direction0,153
153,20,direction20,154
154,15,direction15,155
155,25,direction25,156
156,10,direction10,157
157,5,direction5,158
158,30,direction30,159
159,35,direction35,160
