,direction,type,trial
0,5,direction5,1
1,10,direction10,2
2,0,direction0,3
3,20,direction20,4
4,15,direction15,5
5,35,direction35,6
6,25,direction25,7
7,30,direction30,8
8,20,direction20,9
9,10,direction10,10
10,25,direction25,11
11,35,direction35,12
12,15,direction15,13
13,5,direction5,14
14,30,direction30,15
15,0,direction0,16
16,10,direction10,17
17,15,direction15,18
18,20,direction20,19
19,30,direction30,20
20,35,direction35,21
21,0,direction0,22
22,5,direction5,23
23,25,direction25,24
24,0,direction0,25
25,25,direction25,26
26,15,direction15,27
27,10,direction10,28
28,35,direction35,29
29,30,direction30,30
30,5,direction5,31
31,20,direction20,32
32,25,direction25,33
33,20,direction20,34
34,0,direction0,35
35,35,direction35,36
36,5,direction5,37
37,15,direction15,38
38,30,direction30,39
39,10,direction10,40
40,15,direction15,41
41,30,direction30,42
42,0,direction0,43
43,20,direction20,44
44,25,direction25,45
45,35,direction35,46
46,10,direction10,47
47,5,direction5,48
48,20,direction20,49
49,15,direction15,50
50,0,direction0,51
51,5,direction5,52
52,25,direction25,53
53,10,direction10,54
54,35,direction35,55
55,30,direction30,56
56,20,direction20,57
57,10,direction10,58
58,15,direction15,59
59,25,direction25,60
60,0,direction0,61
61,30,direction30,62
62,35,direction35,63
63,5,direction5,64
64,10,direction10,65
65,30,direction30,66
66,25,direction25,67
67,20,direction20,68
68,5,direction5,69
69,15,direction15,70
70,35,direction35,71
71,0,direction0,72
72,15,direction15,73
73,10,direction10,74
74,20,direction20,75
75,0,direction0,76
76,25,direction25,77
77,30,direction30,78
78,5,direction5,79
79,35,direction35,80
80,30,direction30,81
81,15,direction15,82
82,0,direction0,83
83,25,direction25,84
84,35,direction35,85
85,20,direction20,86
86,10,direction10,87
87,5,direction5,88
88,35,direction35,89
89,30,direction30,90
90,20,direction20,91
91,15,direction15,92
92,25,direction25,93
93,5,direction5,94
94,0,direction0,95
95,10,direction10,96
96,25,direction25,97
97,0,direction0,98
98,35,direction35,99
99,15,direction15,100
100,20,direction20,101
101,5,direction5,102
102,30,direction30,103
103,10,direction10,104
104,30,direction30,105
105,5,direction5,106
106,15,direction15,107
107,35,direction35,108
108,25,direction25,109
109,10,direction10,110
110,0,direction0,111
111,20,direction20,112
112,35,direction35,113
113,10,direction10,114
114,20,direction20,115
115,0,direction0,116
116,30,direction30,117
117,25,direction25,118
118,15,direction15,119
119,5,direction5,120
120,25,direction25,121
121,10,direction10,122
122,5,direction5,123
123,35,direction35,124
124,15,direction15,125
125,0,direction0,126
126,30,direction30,127
127,20,direction20,128
128,25,direction25,129
129,30,direction30,130
130,15,direction15,131
131,5,direction5,132
132,0,direction0,133
133,20,direction20,134
134,35,direction35,135
135,10,direction10,136
136,30,direction30,137
137,35,direction35,138
138,0,direction0,139
139,5,direction5,140
140,10,direction10,141
141,25,direction25,142
142,15,direction15,143
143,20,direction20,144
144,5,direction5,145
145,10,direction10,146
146,0,direction0,147
147,35,direction35,148
148,25,direction25,149
149,20,direction20,150
150,15,direction15,151
151,30,direction30,152
152,0,direction0,153
153,15,direction15,154
154,10,direction10,155
155,35,direction35,156
156,20,direction20,157
157,30,direction30,158
158,25,direction25,159
159,5,direction5,160
